Sample	Spectrum
513	13322
514	13230
515	13319
516	13408
517	13067
518	13345
519	13176.5
520	12824
521	12792
522	12719
523	12441
524	12583
525	12844
526	12987
527	12614
528	12768
529	12426
530	12258
531	12197.5
532	12288
533	15278.99
534	45475.98
535	68181.98
536	69897.48
537	66026.99
538	28190.99
539	13532.5
540	12378
541	14627.5
542	21146
543	22548.98
544	22495.48
545	18424
546	12487
547	11703.51
548	11265
549	11111
550	10836
551	10844
552	11201.5
553	11245.99
554	11158.5
555	10635.99
556	10469
557	10310
558	10000.5
559	9708.506
560	9582.007
561	9610.5
562	9374.506
563	9270.996
564	9225.998
565	9230.995
566	9298.01
567	9071.994
568	9046.002
569	9002.001
570	8773.502
571	8578.996
572	8629
573	12202.5
574	16198
575	17133
576	16359.51
577	12054
578	8760.994
579	8115.996
580	7788.001
581	7779.997
582	7496.004
583	8064.004
584	8025.006
585	7829.002
586	7303.003
587	6461.507
588	6277.502
589	6363.498
590	6071.997
591	6272.501
592	6406.998
593	6232.998
594	6203.998
595	5675.002
596	5292.506
597	5146.502
598	4923.994
599	4760.996
600	4734
601	4590.498
602	4417.996
603	4395.502
604	4075.497
605	4140.496
606	3985.507
607	3591.995
608	3647.998
609	3399
610	3346
611	3231.999
612	3109.002
613	3558.501
614	3664.501
615	3556.5
616	3139.998
617	2717.497
618	2345.499
619	2225.999
620	2012.004
621	1966
622	1788.999
623	1865.999
624	1681.999
625	1663.999
626	1582.499
627	1399.001
628	1506.497
629	1438.998
630	1259.002
631	1272.995
632	1315.501
633	1315.999
634	1166.002
635	1296.999
636	1227.498
637	1154.003
638	1075.002
639	1078.504
640	1028.496
641	1067.997
642	999.0016
643	933.998
644	1093.994
645	1056
646	934.5015
647	974.9954
648	1006.001
649	1031.999
650	986.9991
651	1016.5
652	925.4995
653	1028.501
654	1016.003
655	1082.999
656	1128.999
657	1314.998
658	1858.998
659	4443.003
660	6947.498
661	7929
662	7190.998
663	4450.5
664	2420.001
665	1648.5
666	1417
667	1236.001
668	1101.002
669	1022.499
670	942.4958
671	881.9987
672	724.5011
673	799.9983
674	705.5031
675	798.0001
676	640.0004
677	558.9966
678	603.9974
679	597.001
680	628.0011
681	498.9994
682	524.9962
683	509.4988
684	508.0005
685	560.9968
686	594.9983
687	462.9974
688	503.4985
689	450.4998
690	520.9982
691	507.0032
692	583.9957
693	458.9995
694	443.0002
695	481.5012
696	419.9984
697	419.0002
698	392.5
699	430.9995
700	414.9996
701	452.9988
