Sample        Spectrum      Background    Delta
 223           9564.008      46            9517 
 224           9500.503      46            9453 
 225           9473.002      46            9426 
 226           9479          46            9432 
 227           9778.491      46            9731 
 228           10047.5       46            10000 
 229           9923          46            9876 
 230           9900.5        46            9853 
 231           9940          46            9893 
 232           9968.5        46            9921 
 233           9989          46            9942 
 234           9917.5        46            9870 
 235           9794.5        46            9747 
 236           9764.5        46            9717 
 237           9828          46            9781 
 238           9848          46            9801 
 239           9717          46            9670 
 240           10026         46            9979 
 241           9707.5        46            9660 
 242           9742          46            9695 
 243           9578          46            9531 
 244           9526          46            9479 
 245           9496          46            9449 
 246           9409          46            9362 
 247           9185.5        46            9138 
 248           9472          46            9425 
 249           9290          46            9243 
 250           9543          46            9496 
 251           9693.5        46            9646 
 252           9825.5        46            9778 
 253           9820          46            9773 
 254           9778          46            9731 
 255           9818          46            9771 
 256           9691.5        46            9644 
 257           9868.5        46            9821 
 258           10096.5       46            10049 
 259           9965          46            9918 
 260           10050         46            10003 
 261           10074         46            10027 
 262           10024         46            9977 
 263           9914          46            9867 
 264           9937          46            9890 
 265           9719          46            9672 
 266           9762          46            9715 
 267           9861          46            9814 
 268           9800          46            9753 
 269           9833.5        46            9786 
 270           9786.5        46            9739 
 271           9955.5        46            9908 
 272           10134         46            10087 
 273           10018         46            9971 
 274           10682         46            10635 
 275           10713         46            10666 
 276           10908.5       46            10861 
 277           10625         46            10578 
 278           10720.5       46            10673 
 279           10504         46            10457 
 280           10479.5       46            10432 
 281           9892.5        46            9845 
 282           9482          46            9435 
 283           9654          46            9607 
 284           9570.5        46            9523 
 285           9627.5        46            9580 
 286           9545.5        46            9498 
 287           9723          46            9676 
 288           9590          46            9543 
 289           9617          46            9570 
 290           9403          46            9356 
 291           9414          46            9367 
 292           9618          46            9571 
 293           9659.5        46            9612 
 294           9554.5        46            9507 
 295           9642          46            9595 
 296           9603.5        46            9556 
 297           9817.5        46            9770 
 298           9839          46            9792 
 299           9764          46            9717 
 300           9604          46            9557 
 301           9620.5        46            9573 
 302           9658          46            9611 
 303           9539          46            9492 
 304           9487          46            9440 
 305           9684          46            9637 
 306           9578          46            9531 
 307           9451.5        46            9404 
 308           9480          46            9433 
 309           9278          46            9231 
 310           9336          46            9289 
 311           9260          46            9213 
 312           9366.5        46            9319 
 313           9132.5        46            9085 
 314           9242          46            9195 
 315           9309.5        46            9262 
 316           9082          46            9035 
 317           9144          46            9097 
 318           9228          46            9181 
 319           9018.5        46            8971 
 320           9263          46            9216 
 321           8973          46            8926 
 322           9183.5        46            9136 
 323           8820.5        46            8773 
 324           9170.5        46            9123 
 325           9125          46            9078 
 326           9155.5        46            9108 
 327           9122.5        46            9075 
 328           9424.5        46            9377 
 329           9497          46            9450 
 330           9533          46            9486 
 331           9526          46            9479 
 332           9562.5        46            9515 
 333           9565.5        46            9518 
 334           9629.5        46            9582 
 335           9532          46            9485 
 336           9222          46            9175 
 337           9211.5        46            9164 
 338           9035          46            8988 
 339           9036          46            8989 
 340           9009.5        46            8962 
 341           9059          46            9012 
 342           9142.5        46            9095 
 343           9122.5        46            9075 
 344           8955.5        46            8908 
 345           9115          46            9068 
 346           8990          46            8943 
 347           8992          46            8945 
 348           8929.5        46            8882 
 349           8954          46            8907 
 350           8752          46            8705 
 351           8715.5        46            8668 
 352           8828          46            8781 
 353           8844          46            8797 
 354           8946.5        46            8899 
 355           8804          46            8757 
 356           9110          46            9063 
 357           8900          46            8853 
 358           8871.5        46            8824 
 359           8770          46            8723 
 360           8766          46            8719 
 361           8837          46            8790 
 362           8818          46            8771 
 363           8943.5        46            8896 
 364           8684          46            8637 
 365           8975.5        46            8928 
 366           9006.5        46            8959 
 367           8754          46            8707 
 368           8793          46            8746 
 369           8955          46            8908 
 370           8791.5        46            8744 
 371           8646          46            8599 
 372           8236          46            8189 
 373           8250          46            8203 
 374           8237          46            8190 
 375           7994          46            7947 
 376           7920          46            7873 
 377           7994          46            7947 
 378           8204          46            8157 
 379           8450.5        46            8403 
 380           8175.5        46            8128 
 381           8275          46            8228 
 382           8308          46            8261 
 383           8181          46            8134 
 384           7994.5        46            7947 
 385           8043.5        46            7996 
 386           8035.5        46            7988 
 387           8074          46            8027 
 388           8267          46            8220 
 389           7939.5        46            7892 
 390           8045          46            7998 
 391           7987          46            7940 
 392           7814          46            7767 
 393           7849          46            7802 
 394           7681          46            7634 
 395           7519          46            7472 
 396           7459          46            7412 
 397           7481          46            7434 
 398           7454          46            7407 
 399           7401.5        46            7354 
 400           7502          46            7455 
 401           7508.5        46            7461 
 402           7652          46            7605 
 403           7683          46            7636 
 404           7720          46            7673 
 405           7702          46            7655 
 406           7907          46            7860 
 407           7744          46            7697 
 408           7870.5        46            7823 
 409           7823          46            7776 
 410           7776.5        46            7729 
 411           7645          46            7598 
 412           7463          46            7416 
 413           7375.5        46            7328 
 414           7173.5        46            7126 
 415           7202          46            7155 
 416           7316          46            7269 
 417           7146.5        46            7099 
 418           7115          46            7068 
 419           7111.5        46            7064 
 420           6890          46            6843 
 421           7028          46            6981 
 422           7053          46            7006 
 423           6822          46            6775 
 424           6430          46            6383 
 425           6266          46            6219 
 426           5384          46            5337 
 427           4744.5        46            4697 
 428           4420          46            4373 
 429           4037          46            3990 
 430           4139          46            4092 
 431           4501          46            4454 
 432           5189          46            5142 
 433           5536          46            5489 
 434           5952          46            5905 
 435           6281          46            6234 
 436           6552.5        46            6505 
 437           6668          46            6621 
 438           6653.5        46            6606 
 439           6785          46            6738 
 440           6585.5        46            6538 
 441           6661          46            6614 
 442           6537.5        46            6490 
 443           6364.5        46            6317 
 444           6541          46            6494 
 445           6436          46            6389 
 446           6316          46            6269 
 447           6264          46            6217 
