Sample	Spectrum	Background	Delta										Helium			Argon	
154	11881.31	182	11699.31													667.728	100
155	13188.96	182	13006.96													668.429	35
156	12987.5	182	12805.5													675.283	150
157	9174.115	182	8992.115													675.616	5
158	3357.178	182	3175.178													676.661	15
159	2505.026	182	2323.026													686.127	20
160	2478.001	182	2296.001													687.129	150
161	3140.98	182	2958.98													687.958	5
162	3724.982	182	3542.982													688.817	10
163	4134.487	182	3952.487													693.766	50
164	4605.485	182	4423.485													695.148	7
165	4652.499	182	4470.499													696.025	7
166	4144.016	182	3962.016													696.543	9999
167	4464.99	182	4282.99													703.025	150
168	4681.493	182	4499.493													706.722	9999
169	4411.009	182	4229.009													706.874	100
170	4157.008	182	3975.008													710.748	25
171	3391.523	182	3209.523													712.582	25
172	2855.017	182	2673.017													714.704	1000
173	3085.993	182	2903.993													715.884	15
174	3399.491	182	3217.491													0	0
175	3446.998	182	3264.998													800	0
176	3407.002	182	3225.002														
177	2915.515	182	2733.515														
178	3015.497	182	2833.497														
179	3298.491	182	3116.491														
180	3063.007	182	2881.007														
181	3109.998	182	2927.998														
182	4607.454	182	4425.454														
183	7213.922	182	7031.922														
184	7533.491	182	7351.491														
185	7914.99	182	7732.99														
186	6474.045	182	6292.045														
187	5400.033	182	5218.033														
188	21148.52	182	20966.52														
189	117438.6	182	117256.6														
190	153452.4	182	153270.4														
191	154658.5	182	154476.5														
192	131851.7	182	131669.7														
193	30863.58	182	30681.58														
194	5802.765	182	5620.765														
195	3835.561	182	3653.561														
196	3854	182	3672														
197	3585.508	182	3403.508														
198	3680.497	182	3498.497														
199	3331.511	182	3149.511														
200	3570.493	182	3388.493														
201	3543.501	182	3361.501														
202	4008.986	182	3826.986														
203	4696.979	182	4514.979														
204	5071.488	182	4889.488														
205	5024.002	182	4842.002														
206	4932.503	182	4750.503														
207	8202.899	182	8020.899														
208	20736.12	182	20554.12														
209	23370.92	182	23188.92														
210	23645.99	182	23463.99														
211	17808.68	182	17626.68														
212	5435.378	182	5253.378														
