Sample        Spectrum      Background    Delta
 224           3434.502      46            3387 
 225           3439.5        46            3392 
 226           3480.499      46            3433 
 227           3360.504      46            3313 
 228           3357          46            3310 
 229           3476          46            3429 
 230           3495          46            3448 
 231           3295          46            3248 
 232           3356          46            3309 
 233           3315.002      46            3268 
 234           3354.998      46            3308 
 235           3202.509      46            3155 
 236           3230.999      46            3184 
 237           3225.5        46            3178 
 238           3168.504      46            3121 
 239           3194.999      46            3148 
 240           3106.006      46            3059 
 241           3085.001      46            3038 
 242           3037.503      46            2990 
 243           3064.999      46            3018 
 244           2993.004      46            2946 
 245           2976.001      46            2929 
 246           2901.504      46            2854 
 247           2962.496      46            2915 
 248           2900.503      46            2853 
 249           2898          46            2851 
 250           2978.995      46            2932 
 251           2739.015      46            2692 
 252           2878.991      46            2832 
 253           2889.5        46            2842 
 254           2879          46            2832 
 255           2869.5        46            2822 
 256           2758.007      46            2711 
 257           2724.002      46            2677 
 258           2835.993      46            2789 
 259           2915.495      46            2868 
 260           2786.008      46            2739 
 261           2699.005      46            2652 
 262           2696          46            2649 
 263           2752.997      46            2706 
 264           2665.005      46            2618 
 265           2595.004      46            2548 
 266           2663.496      46            2616 
 267           2654          46            2607 
 268           2639.001      46            2592 
 269           2610.002      46            2563 
 270           2609.5        46            2562 
 271           2560.003      46            2513 
 272           2562          46            2515 
 273           3103.467      46            3056 
 274           3557.472      46            3510 
 275           3399.01       46            3352 
 276           3518.493      46            3471 
 277           3513          46            3466 
 278           3427.005      46            3380 
 279           3317.506      46            3270 
 280           3409.495      46            3362 
 281           2898.031      46            2851 
 282           2360.033      46            2313 
 283           2393.998      46            2347 
 284           2380.501      46            2333 
 285           2215.51       46            2168 
 286           2159.003      46            2112 
 287           2336.989      46            2290 
 288           2250.005      46            2203 
 289           2226.001      46            2179 
 290           2309.995      46            2263 
 291           2200.507      46            2153 
 292           2250.497      46            2203 
 293           2263.999      46            2217 
 294           2176.505      46            2129 
 295           2301.992      46            2255 
 296           2310.999      46            2264 
 297           2304          46            2257 
 298           2349.997      46            2303 
 299           2416.996      46            2370 
 300           2265.509      46            2218 
 301           2337.996      46            2291 
 302           2387.497      46            2340 
 303           2387.5        46            2340 
 304           2424.498      46            2377 
 305           2265.51       46            2218 
 306           2217.003      46            2170 
 307           2156.004      46            2109 
 308           2260.993      46            2214 
 309           2198.504      46            2151 
 310           2102.006      46            2055 
 311           2034.504      46            1987 
 312           2002.002      46            1955 
 313           1930.504      46            1883 
 314           2024.494      46            1977 
 315           2000.001      46            1953 
 316           1998          46            1951 
 317           1937.004      46            1890 
 318           1998.996      46            1952 
 319           2063.996      46            2017 
 320           1986.505      46            1939 
 321           1981          46            1934 
 322           1995.499      46            1948 
 323           1996          46            1949 
 324           2018.998      46            1972 
 325           2129.993      46            2083 
 326           2035.506      46            1988 
 327           2278.485      46            2231 
 328           2406.992      46            2360 
 329           2489.995      46            2443 
 330           2552.496      46            2505 
 331           2567.999      46            2521 
 332           2696.992      46            2650 
 333           2584.007      46            2537 
 334           2556.001      46            2509 
 335           2345.013      46            2298 
 336           2185.01       46            2138 
 337           2217.498      46            2170 
 338           2086.008      46            2039 
 339           2215.992      46            2169 
 340           2004.013      46            1957 
 341           2162.99       46            2116 
 342           2000.01       46            1953 
 343           2085.495      46            2038 
 344           2157.996      46            2111 
 345           1948.013      46            1901 
 346           2029.995      46            1983 
 347           2141.493      46            2094 
 348           2097.502      46            2050 
 349           2175.995      46            2129 
 350           2102.005      46            2055 
 351           2085.501      46            2038 
 352           2075.5        46            2028 
 353           2121.997      46            2075 
 354           2087.002      46            2040 
 355           1945.009      46            1898 
 356           1966.999      46            1920 
 357           2057.995      46            2011 
 358           2073.999      46            2027 
 359           1993.005      46            1946 
 360           2069.995      46            2023 
 361           2086.999      46            2040 
 362           1993.006      46            1946 
 363           2014.999      46            1968 
 364           2007.501      46            1960 
 365           1962.002      46            1915 
 366           1977.999      46            1931 
 367           2188.487      46            2141 
 368           2103.005      46            2056 
 369           2163.496      46            2116 
 370           2139.001      46            2092 
 371           2031.007      46            1984 
 372           2034          46            1987 
 373           2063.998      46            2017 
 374           1968.506      46            1921 
 375           1839.508      46            1792 
 376           1900.996      46            1854 
 377           1770.008      46            1723 
 378           1923.991      46            1877 
 379           1985.496      46            1938 
 380           1935.003      46            1888 
 381           1828.007      46            1781 
 382           1938.993      46            1892 
 383           1937.5        46            1890 
 384           1905.002      46            1858 
 385           1919.499      46            1872 
 386           1806.007      46            1759 
 387           1890.995      46            1844 
 388           1866.001      46            1819 
 389           1719.009      46            1672 
 390           1767.997      46            1721 
 391           1858.994      46            1812 
 392           1792.004      46            1745 
 393           1823.998      46            1777 
 394           1672.009      46            1625 
 395           1683.999      46            1637 
 396           1551.008      46            1504 
 397           1658.993      46            1612 
 398           1679.999      46            1633 
 399           1777.494      46            1730 
 400           1960.489      46            1913 
 401           1967          46            1920 
 402           2122.99       46            2076 
 403           2208.495      46            2161 
 404           2391.989      46            2345 
 405           2323.004      46            2276 
 406           2342.999      46            2296 
 407           2343          46            2296 
 408           2259.505      46            2212 
 409           2183.505      46            2136 
 410           2211.998      46            2165 
 411           2216          46            2169 
 412           1958.516      46            1911 
 413           1952          46            1905 
 414           1957          46            1910 
 415           1852.007      46            1805 
 416           1796.003      46            1749 
 417           1779.001      46            1732 
 418           1895.993      46            1849 
 419           1756.009      46            1709 
 420           1726.002      46            1679 
 421           1788.996      46            1742 
