Sample        Spectrum      Background    Delta
 241           1282          182           1099 
 242           1455          182           1272 
 243           1382.5        182           1199 
 244           1430          182           1247 
 245           1379          182           1196 
 246           1555.5        182           1372 
 247           1390          182           1207 
 248           1458          182           1275 
 249           1506.5        182           1323 
 250           1476          182           1293 
 251           1495.5        182           1312 
 252           1537          182           1354 
 253           1506.5        182           1323 
 254           1505          182           1322 
 255           1605.5        182           1422 
 256           1605          182           1422 
 257           1658.5        182           1475 
 258           1571          182           1388 
 259           1665.5        182           1482 
 260           1703          182           1520 
 261           1746.5        182           1563 
 262           1672.5        182           1489 
 263           1780          182           1597 
 264           1810          182           1627 
 265           1821          182           1638 
 266           1760          182           1577 
 267           1884          182           1701 
 268           1898.5        182           1715 
 269           1978.5        182           1795 
 270           2084.5        182           1901 
 271           2118          182           1935 
 272           2056          182           1873 
 273           2122.5        182           1939 
 274           2153          182           1970 
 275           2176          182           1993 
 276           2214.5        182           2031 
 277           2403.5        182           2220 
 278           2255.5        182           2072 
 279           2347          182           2164 
 280           2497.5        182           2314 
 281           2392.5        182           2209 
 282           2442          182           2259 
 283           2442          182           2259 
 284           2629.5        182           2446 
 285           2978          182           2795 
 286           3143          182           2960 
 287           3250          182           3067 
 288           3136          182           2953 
 289           3048          182           2865 
 290           3192          182           3009 
 291           3194.5        182           3011 
 292           3309.5        182           3126 
 293           3296          182           3113 
 294           6724          182           6541 
 295           110709        182           110526 
 296           696706.5      182           696523 
 297           853172        182           852989 
 298           853299        182           853116 
 299           688358        182           688175 
 300           113491.5      182           113308 
 301           8963.5        182           8780 
 302           4569.5        182           4386 
 303           4322.5        182           4139 
 304           4081          182           3898 
 305           3908          182           3725 
 306           3681          182           3498 
 307           3585.5        182           3402 
 308           3586.5        182           3403 
 309           3723.5        182           3540 
 310           3403.5        182           3220 
 311           3675.5        182           3492 
 312           3453.5        182           3270 
 313           3545          182           3362 
 314           3469.5        182           3286 
 315           3509          182           3326 
 316           3585          182           3402 
 317           3603          182           3420 
 318           3556          182           3373 
 319           3526          182           3343 
 320           3522          182           3339 
 321           3565.5        182           3382 
 322           3664          182           3481 
 323           3575.5        182           3392 
 324           3771          182           3588 
 325           3649          182           3466 
 326           3820          182           3637 
 327           3652.5        182           3469 
 328           3836          182           3653 
 329           3919          182           3736 
 330           4036          182           3853 
 331           3952          182           3769 
 332           3859          182           3676 
 333           3964.5        182           3781 
 334           4149.5        182           3966 
 335           4267.5        182           4084 
 336           4490          182           4307 
 337           4556          182           4373 
 338           4599          182           4416 
 339           4507          182           4324 
 340           4336.5        182           4153 
 341           4470          182           4287 
 342           4504.5        182           4321 
 343           4466          182           4283 
 344           4535          182           4352 
 345           4543          182           4360 
 346           4646.5        182           4463 
 347           4570          182           4387 
 348           4749          182           4566 
 349           4741          182           4558 
 350           4881          182           4698 
 351           4904          182           4721 
 352           5057          182           4874 
 353           5416.5        182           5233 
 354           8236.5        182           8053 
 355           90355         182           90172 
 356           258919        182           258736 
