Sample        Spectrum      Background    Delta
 223           9564.008      51            9512 
 224           9500.503      51            9448 
 225           9473.002      51            9421 
 226           9479          51            9427 
 227           9778.491      51            9726 
 228           10047.5       51            9995 
 229           9923          51            9871 
 230           9900.5        51            9848 
 231           9940          51            9888 
 232           9968.5        51            9916 
 233           9989          51            9937 
 234           9917.5        51            9865 
 235           9794.5        51            9742 
 236           9764.5        51            9712 
 237           9828          51            9776 
 238           9848          51            9796 
 239           9717          51            9665 
 240           10026         51            9974 
 241           9707.5        51            9655 
 242           9742          51            9690 
 243           9578          51            9526 
 244           9526          51            9474 
 245           9496          51            9444 
 246           9409          51            9357 
 247           9185.5        51            9133 
 248           9472          51            9420 
 249           9290          51            9238 
 250           9543          51            9491 
 251           9693.5        51            9641 
 252           9825.5        51            9773 
 253           9820          51            9768 
 254           9778          51            9726 
 255           9818          51            9766 
 256           9691.5        51            9639 
 257           9868.5        51            9816 
 258           10096.5       51            10044 
 259           9965          51            9913 
 260           10050         51            9998 
 261           10074         51            10022 
 262           10024         51            9972 
 263           9914          51            9862 
 264           9937          51            9885 
 265           9719          51            9667 
 266           9762          51            9710 
 267           9861          51            9809 
 268           9800          51            9748 
 269           9833.5        51            9781 
 270           9786.5        51            9734 
 271           9955.5        51            9903 
 272           10134         51            10082 
 273           10018         51            9966 
 274           10682         51            10630 
 275           10713         51            10661 
 276           10908.5       51            10856 
 277           10625         51            10573 
 278           10720.5       51            10668 
 279           10504         51            10452 
 280           10479.5       51            10427 
 281           9892.5        51            9840 
 282           9482          51            9430 
 283           9654          51            9602 
 284           9570.5        51            9518 
 285           9627.5        51            9575 
 286           9545.5        51            9493 
 287           9723          51            9671 
 288           9590          51            9538 
 289           9617          51            9565 
 290           9403          51            9351 
 291           9414          51            9362 
 292           9618          51            9566 
 293           9659.5        51            9607 
 294           9554.5        51            9502 
 295           9642          51            9590 
 296           9603.5        51            9551 
 297           9817.5        51            9765 
 298           9839          51            9787 
 299           9764          51            9712 
 300           9604          51            9552 
 301           9620.5        51            9568 
 302           9658          51            9606 
 303           9539          51            9487 
 304           9487          51            9435 
 305           9684          51            9632 
 306           9578          51            9526 
 307           9451.5        51            9399 
 308           9480          51            9428 
 309           9278          51            9226 
 310           9336          51            9284 
 311           9260          51            9208 
 312           9366.5        51            9314 
 313           9132.5        51            9080 
 314           9242          51            9190 
 315           9309.5        51            9257 
 316           9082          51            9030 
 317           9144          51            9092 
 318           9228          51            9176 
 319           9018.5        51            8966 
 320           9263          51            9211 
 321           8973          51            8921 
 322           9183.5        51            9131 
 323           8820.5        51            8768 
 324           9170.5        51            9118 
 325           9125          51            9073 
 326           9155.5        51            9103 
 327           9122.5        51            9070 
 328           9424.5        51            9372 
 329           9497          51            9445 
 330           9533          51            9481 
 331           9526          51            9474 
 332           9562.5        51            9510 
 333           9565.5        51            9513 
 334           9629.5        51            9577 
 335           9532          51            9480 
 336           9222          51            9170 
 337           9211.5        51            9159 
 338           9035          51            8983 
 339           9036          51            8984 
 340           9009.5        51            8957 
 341           9059          51            9007 
 342           9142.5        51            9090 
 343           9122.5        51            9070 
 344           8955.5        51            8903 
 345           9115          51            9063 
 346           8990          51            8938 
 347           8992          51            8940 
 348           8929.5        51            8877 
 349           8954          51            8902 
 350           8752          51            8700 
 351           8715.5        51            8663 
 352           8828          51            8776 
 353           8844          51            8792 
 354           8946.5        51            8894 
 355           8804          51            8752 
 356           9110          51            9058 
 357           8900          51            8848 
 358           8871.5        51            8819 
 359           8770          51            8718 
 360           8766          51            8714 
 361           8837          51            8785 
 362           8818          51            8766 
 363           8943.5        51            8891 
 364           8684          51            8632 
 365           8975.5        51            8923 
 366           9006.5        51            8954 
 367           8754          51            8702 
 368           8793          51            8741 
 369           8955          51            8903 
 370           8791.5        51            8739 
 371           8646          51            8594 
 372           8236          51            8184 
 373           8250          51            8198 
 374           8237          51            8185 
 375           7994          51            7942 
 376           7920          51            7868 
 377           7994          51            7942 
 378           8204          51            8152 
 379           8450.5        51            8398 
 380           8175.5        51            8123 
 381           8275          51            8223 
 382           8308          51            8256 
 383           8181          51            8129 
 384           7994.5        51            7942 
 385           8043.5        51            7991 
 386           8035.5        51            7983 
 387           8074          51            8022 
 388           8267          51            8215 
 389           7939.5        51            7887 
 390           8045          51            7993 
 391           7987          51            7935 
 392           7814          51            7762 
 393           7849          51            7797 
 394           7681          51            7629 
 395           7519          51            7467 
 396           7459          51            7407 
 397           7481          51            7429 
 398           7454          51            7402 
 399           7401.5        51            7349 
 400           7502          51            7450 
 401           7508.5        51            7456 
 402           7652          51            7600 
 403           7683          51            7631 
 404           7720          51            7668 
 405           7702          51            7650 
 406           7907          51            7855 
 407           7744          51            7692 
 408           7870.5        51            7818 
 409           7823          51            7771 
 410           7776.5        51            7724 
 411           7645          51            7593 
 412           7463          51            7411 
 413           7375.5        51            7323 
 414           7173.5        51            7121 
 415           7202          51            7150 
 416           7316          51            7264 
 417           7146.5        51            7094 
 418           7115          51            7063 
 419           7111.5        51            7059 
 420           6890          51            6838 
 421           7028          51            6976 
 422           7053          51            7001 
 423           6822          51            6770 
 424           6430          51            6378 
 425           6266          51            6214 
 426           5384          51            5332 
 427           4744.5        51            4692 
 428           4420          51            4368 
 429           4037          51            3985 
 430           4139          51            4087 
 431           4501          51            4449 
 432           5189          51            5137 
 433           5536          51            5484 
 434           5952          51            5900 
 435           6281          51            6229 
 436           6552.5        51            6500 
 437           6668          51            6616 
 438           6653.5        51            6601 
 439           6785          51            6733 
 440           6585.5        51            6533 
 441           6661          51            6609 
 442           6537.5        51            6485 
 443           6364.5        51            6312 
 444           6541          51            6489 
 445           6436          51            6384 
 446           6316          51            6264 
 447           6264          51            6212 
 448           6381.5        51            6329 
 449           6154.5        51            6102 
 450           5908          51            5856 
 451           5765.5        51            5713 
 452           5669          51            5617 
 453           5713          51            5661 
 454           5511          51            5459 
 455           5572          51            5520 
 456           5165          51            5113 
 457           5323          51            5271 
 458           5077          51            5025 
 459           4958.5        51            4906 
 460           4879          51            4827 
 461           4540          51            4488 
 462           4628          51            4576 
 463           4421.5        51            4369 
 464           4350.5        51            4298 
 465           4054          51            4002 
 466           3899          51            3847 
 467           3865          51            3813 
 468           3721          51            3669 
 469           3640          51            3588 
 470           3558.5        51            3506 
 471           3496          51            3444 
 472           3423          51            3371 
 473           3479.5        51            3427 
 474           3742          51            3690 
 475           3742          51            3690 
 476           3825.5        51            3773 
 477           3814          51            3762 
 478           3972.5        51            3920 
 479           4225          51            4173 
 480           4092.5        51            4040 
 481           4126          51            4074 
 482           3927          51            3875 
 483           4100.5        51            4048 
 484           4103          51            4051 
 485           4312.5        51            4260 
 486           4223.5        51            4171 
 487           3948          51            3896 
 488           3955          51            3903 
 489           3866.5        51            3814 
 490           3793          51            3741 
 491           3642          51            3590 
 492           3545.5        51            3493 
 493           3276          51            3224 
 494           3191          51            3139 
 495           2868.5        51            2816 
 496           2812          51            2760 
 497           2801.5        51            2749 
 498           2641          51            2589 
 499           2861          51            2809 
 500           3004          51            2952 
 501           3042.5        51            2990 
 502           2932          51            2880 
 503           3131          51            3079 
 504           2982          51            2930 
 505           3048.5        51            2996 
 506           2796.5        51            2744 
 507           2761.5        51            2709 
 508           2710          51            2658 
 509           2717          51            2665 
 510           2948          51            2896 
 511           2864.5        51            2812 
 512           2748.5        51            2696 
 513           2862          51            2810 
 514           3185          51            3133 
 515           3222.5        51            3170 
 516           3267.5        51            3215 
 517           3097          51            3045 
 518           3169.5        51            3117 
 519           3237.5        51            3185 
 520           3196          51            3144 
 521           3029.5        51            2977 
 522           2685          51            2633 
 523           2822          51            2770 
 524           2749          51            2697 
 525           2718          51            2666 
 526           2530          51            2478 
 527           2503          51            2451 
 528           2134.5        51            2082 
 529           1920.003      51            1868 
 530           1812.996      51            1761 
 531           1683.001      51            1631 
 532           1558          51            1506 
 533           1459.999      51            1408 
 534           1500          51            1448 
 535           1513.998      51            1462 
 536           1505.502      51            1453 
 537           1336.503      51            1284 
 538           1326.003      51            1274 
 539           1360.498      51            1308 
 540           1251.503      51            1199 
 541           1303.999      51            1252 
 542           1210.001      51            1158 
 543           1241          51            1189 
 544           1129          51            1077 
 545           1225.999      51            1174 
 546           1218.997      51            1167 
 547           1189.999      51            1138 
 548           1067.5        51            1015 
 549           1297.503      51            1245 
 550           1371          51            1319 
 551           1444.5        51            1392 
 552           1387.501      51            1335 
 553           1361.998      51            1310 
 554           1476.497      51            1424 
 555           1482          51            1430 
 556           1415.001      51            1363 
 557           1357.501      51            1305 
 558           1154.998      51            1103 
 559           1233.998      51            1182 
 560           1237.005      51            1185 
 561           1212.002      51            1160 
 562           1167.001      51            1115 
 563           1133.001      51            1081 
 564           1209          51            1157 
 565           1145.496      51            1093 
 566           1086.498      51            1034 
 567           965.9969      51            914 
 568           1027.502      51            975 
 569           881           51            829 
 570           741.0044      51            689 
 571           796.0023      51            744 
 572           773.9987      51            722 
 573           750.0023      51            698 
 574           656.5018      51            604 
 575           611.5029      51            559 
 576           691.494       51            639 
 577           692.5001      51            640 
 578           637.9999      51            586 
 579           830.0029      51            778 
 580           810.9976      51            759 
 581           902.0002      51            850 
 582           874.5         51            822 
 583           836.0009      51            784 
 584           846.001       51            794 
 585           751.0002      51            699 
 586           795           51            743 
 587           729.0006      51            677 
 588           739.0011      51            687 
 589           639.4994      51            587 
 590           686.9995      51            635 
 591           798.9985      51            747 
 592           681.5006      51            629 
 593           770.4998      51            718 
 594           742.0002      51            690 
 595           720.001       51            668 
 596           748.0016      51            696 
 597           768.9985      51            717 
 598           688.9995      51            637 
 599           756.0011      51            704 
 600           699.9983      51            648 
 601           792.5005      51            740 
 602           755.5013      51            703 
 603           678.9952      51            627 
 604           656.0012      51            604 
 605           587.0016      51            535 
 606           646.5023      51            594 
 607           471.002       51            419 
 608           460.501       51            408 
 609           465           51            413 
 610           386.5006      51            334 
 611           290.0023      51            238 
 612           340.0011      51            288 
 613           329.9974      51            278 
 614           281.9984      51            230 
 615           282.9999      51            231 
 616           297.5024      51            245 
 617           276.0026      51            224 
 618           298.0001      51            246 
 619           258.9998      51            207 
 620           253.5007      51            201 
 621           235.9993      51            184 
 622           238.9982      51            187 
 623           219.9988      51            168 
 624           153.9999      51            102 
 625           188.0007      51            136 
 626           151.9996      51            100 
 627           115.4998      51            63 
 628           78.0022       51            26 
 629           190.9982      51            139 
 630           80.00012      51            28 
 631           27.99939      51           -24 
 632           64.50061      51            12 
 633           113.9969      51            62 
 634          -27.99719      51           -80 
 635           54.00256      51            2 
 636           11.9978       51           -40 
 637          -36.00073      51           -88 
 638           32.99841      51           -19 
 639           23.00049      51           -29 
 640          -28.49719      51           -81 
 641          -18.99829      51           -71 
 642           15.99536      51           -36 
 643           13.50073      51           -39 
 644          -88.99976      51           -141 
 645          -7.997803      51           -60 
 646           20.9989       51           -31 
 647          -76.00317      51           -128 
 648          -25.99939      51           -78 
 649          -37.50262      51           -90 
 650           88.49805      51            36 
 651          -87.99988      51           -140 
 652          -4.999268      51           -57 
 653          -61.49451      51           -114 
 654           22.50037      51           -30 
 655           7.998535      51           -44 
 656          -83.99927      51           -136 
 657           47.0011       51           -5 
 658          -21.49939      51           -74 
 659          -17.50293      51           -70 
 660          -3.998657      51           -56 
 661           36.00085      51           -16 
 662          -31.50049      51           -84 
 663          -13.00012      51           -65 
 664          -9.000732      51           -61 
 665          -56.99976      51           -109 
 666           7.500122      51           -45 
 667          -61.50354      51           -114 
 668          -24.49927      51           -77 
 669          -64.00085      51           -116 
 670           30.4989       51           -22 
 671          -20.99805      51           -73 
 672          -16.49829      51           -69 
 673          -62.99976      51           -115 
 674          -20.00146      51           -72 
 675          -18.00061      51           -70 
 676          -42.49683      51           -95 
 677          -25.5          51           -78 
 678           1.501099      51           -51 
 679          -62.00085      51           -114 
 680           23.4989       51           -29 
 681           126           51            74 
 682           42.00024      51           -10 
 683           29.50208      51           -23 
 684           26            51           -26 
 685           2.999878      51           -49 
 686           56.00403      51            4 
 687           31.99939      51           -20 
 688          -4.001831      51           -56 
 689           26.00183      51           -26 
 690           21.00037      51           -31 
 691           27.0033       51           -25 
 692           28.50073      51           -24 
 693          -21.99927      51           -74 
 694          -96.99744      51           -149 
 695          -5.001099      51           -57 
 696          -92.0022       51           -144 
